frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
17312,736,242.33,25.7,25.64,0.01,19.4,2.5,6,737,266.73,21.8,31.68,0.05,4.24,1.92,5
17313,736,243.34,25.7,25.65,0.01,19.4,2.5,6,737,268.0,21.81,31.69,0.06,4.24,1.92,5
17314,736,244.36,25.7,25.65,0.01,19.4,2.5,6,737,269.27,21.81,31.71,0.07,4.24,1.92,5
17315,736,245.38,25.7,25.66,0.01,19.4,2.5,6,737,270.53,21.81,31.73,0.09,4.24,1.92,5
17316,736,246.4,25.7,25.66,0.01,19.4,2.5,6,737,271.8,21.81,31.74,0.1,4.24,1.92,5
17317,736,247.43,25.7,25.67,0.01,19.4,2.5,6,737,273.07,21.82,31.76,0.11,4.24,1.92,5
17318,736,248.46,25.7,25.67,0.0,19.4,2.5,6,737,274.34,21.82,31.77,0.13,4.24,1.92,5
17319,736,249.49,25.7,25.68,0.0,19.4,2.5,6,737,275.62,21.83,31.79,0.14,4.24,1.92,5
17320,736,250.51,25.7,25.68,0.0,19.4,2.5,6,737,276.89,21.83,31.8,0.16,4.24,1.92,5
17321,736,251.53,25.7,25.69,-0.0,19.4,2.5,6,737,278.16,21.84,31.82,0.17,4.24,1.92,5
17322,736,252.56,25.7,25.7,-0.0,19.4,2.5,6,737,279.44,21.84,31.83,0.19,4.24,1.92,5
17323,736,253.58,25.7,25.7,-0.0,19.4,2.5,6,737,280.71,21.85,31.85,0.2,4.24,1.92,5
17324,736,254.6,25.7,25.71,-0.01,19.4,2.5,6,737,282.0,21.86,31.86,0.22,4.24,1.92,5
17325,736,255.64,25.7,25.72,-0.01,19.4,2.5,6,737,283.28,21.87,31.87,0.23,4.24,1.92,5
17326,736,256.67,25.7,25.72,-0.01,19.4,2.5,6,737,284.56,21.88,31.89,0.25,4.24,1.92,5
17327,736,257.7,25.7,25.73,-0.01,19.4,2.5,6,737,285.83,21.89,31.9,0.27,4.24,1.92,5
17328,736,258.73,25.7,25.73,-0.01,19.4,2.5,6,737,287.11,21.9,31.91,0.28,4.24,1.92,5
17329,736,259.77,25.7,25.74,-0.01,19.4,2.5,6,737,288.38,21.91,31.93,0.3,4.24,1.92,5
17330,736,260.8,25.7,25.75,-0.02,19.4,2.5,6,737,289.66,21.92,31.94,0.31,4.24,1.92,5
17331,736,261.83,25.7,25.75,-0.02,19.4,2.5,6,737,290.94,21.94,31.95,0.33,4.24,1.92,5
17332,736,262.86,25.7,25.76,-0.02,19.4,2.5,6,737,292.21,21.95,31.96,0.35,4.24,1.92,5
17333,736,263.89,25.7,25.77,-0.02,19.4,2.5,6,737,293.49,21.97,31.98,0.36,4.24,1.92,5
