t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,7.31,4.29
0.04,0.84,0.0,8.41,4.29
0.08,1.72,0.01,9.51,4.28
0.12,2.62,0.02,10.61,4.27
0.16,3.54,0.02,11.72,4.27
0.2,4.47,0.03,12.84,4.26
0.24,5.4,0.03,13.95,4.26
0.28,6.33,0.04,15.06,4.25
0.32,7.27,0.04,16.18,4.25
0.36,8.2,0.04,17.29,4.24
0.4,9.13,0.05,18.4,4.24
0.44,10.06,0.05,19.49,4.23
0.48,11.0,0.06,20.59,4.23
0.52,11.95,0.06,21.69,4.22
0.56,12.89,0.06,22.79,4.22
0.6,13.83,0.07,23.89,4.22
0.64,14.76,0.07,24.98,4.22
0.68,15.68,0.07,26.08,4.21
0.72,16.61,0.08,27.19,4.21
0.76,17.53,0.08,28.29,4.21
0.8,18.45,0.08,29.4,4.21
0.84,19.38,0.09,30.52,4.21
0.88,20.31,0.09,31.65,4.21
0.92,21.24,0.09,32.76,4.21
0.96,22.18,0.09,33.87,4.21
1.0,23.11,0.1,34.97,4.21
1.04,24.03,0.1,36.07,4.21
1.08,24.94,0.1,37.17,4.2
1.12,25.86,0.11,38.26,4.2
1.16,26.78,0.11,39.34,4.2
1.2,27.7,0.11,40.44,4.2
1.24,28.62,0.11,41.54,4.2
1.28,29.55,0.12,42.64,4.21
1.32,30.48,0.12,43.75,4.21
1.36,31.42,0.12,44.86,4.21
1.4,32.36,0.13,45.97,4.21
1.44,33.29,0.13,47.08,4.21
1.48,34.22,0.13,48.18,4.22
1.52,35.17,0.14,49.28,4.22
1.56,36.11,0.14,50.37,4.22
1.6,37.04,0.14,51.47,4.22
1.64,37.96,0.15,52.56,4.22
1.68,38.88,0.15,53.65,4.23
1.72,39.8,0.16,54.74,4.23
1.76,40.72,0.16,55.83,4.23
1.8,41.65,0.17,56.93,4.23
1.84,42.57,0.17,58.03,4.23
1.88,43.5,0.18,59.13,4.23
1.92,44.45,0.18,60.22,4.23
1.96,45.38,0.19,61.31,4.24
2.0,46.31,0.19,62.42,4.24
2.04,47.24,0.2,63.52,4.24
2.08,48.17,0.2,64.62,4.24
2.12,49.08,0.2,65.72,4.24
2.16,50.0,0.21,66.82,4.24
2.2,50.93,0.21,67.91,4.24
2.24,51.85,0.22,69.0,4.24
2.28,52.78,0.22,70.08,4.24
2.32,53.71,0.23,71.16,4.24
2.36,54.64,0.23,72.25,4.24
2.4,55.56,0.24,73.35,4.24
2.44,56.48,0.24,74.45,4.25
2.48,57.39,0.25,75.54,4.25
2.52,58.32,0.25,76.64,4.25
2.56,59.22,0.26,77.74,4.25
2.6,60.14,0.26,78.84,4.25
2.64,61.06,0.27,79.92,4.25
2.68,61.99,0.27,81.03,4.25
2.72,62.92,0.28,82.13,4.25
2.76,63.84,0.28,83.21,4.25
2.8,64.76,0.28,84.31,4.25
2.84,65.69,0.29,85.4,4.25
